,{producer;consumer;storage;hub;conversion},{true;false},{true;false},{true;false},kEUR/MW/year,MW,MW,MW,MW,{true;false},MWh/year,MWh,MWh,h
name,type,active,investable,investment_integer,investment_cost,investment_limit,capacity,initial_capacity,peak_demand,is_seasonal,storage_inflows,initial_storage_capacity,initial_storage_level,energy_to_power_ratio
PL_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PL_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
PL_Hydro,producer,True,False,False,0.0,,518.0,518.0,0.0,False,0,0.0,0.0,0
PL_Hydro_Reservoir,storage,True,False,False,0.0,,272.0,272.0,0.0,False,272,800.0,400.0,0
PL_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
PL_Pump_Hydro_Closed,storage,True,False,False,0.0,,1000.0,1323.0,0.0,False,1323,6300.0,3150.0,0
PL_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,216.0,0.0,False,216,1500.0,750.0,0
PL_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
PL_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
PL_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
SE_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
SE_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,24623.0,False,0,0.0,0.0,0
SE_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
SE_Wind_Onshore,producer,True,True,False,77356.32865703155,16901.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
SE_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
SE_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
SE_Hydro_Reservoir,storage,True,False,False,0.0,,16447.0,16447.0,0.0,False,16447,31931326.0,15965663.0,0
SE_Nuclear,producer,True,False,False,0.0,,5114.0,5114.0,0.0,False,0,0.0,0.0,0
SE_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
SE_H_Demand,consumer,True,False,False,0.0,,0.0,0.0,967.5,False,0,0.0,,0
SE_Blue_Hydrogen,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,,0
SE_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
SE_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
SE_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
NO_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
NO_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,27028.0,False,0,0.0,0.0,0
NO_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NO_Wind_Onshore,producer,True,True,False,77356.32865703155,6060.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
NO_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NO_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
NO_Battery,storage,True,True,False,77577.8503057667,,1000.0,0.0,0.0,False,0,0.0,,3
NO_Pump_Hydro_Open,storage,True,False,False,0.0,,1000.0,38048.0,0.0,False,38048,89577400.0,44788700.0,0
NO_PEMEC,conversion,True,True,False,69706.05505619879,,1000.0,0.0,0.0,False,0,0.0,,0
NO_PEMFC,conversion,True,True,False,147495.02600554653,,1000.0,0.0,0.0,False,0,0.0,,0
NO_H2Tank,storage,True,True,False,12682.673923355702,,1000.0,0.0,0.0,False,0,0.0,,4
ES_E_Balance,hub,True,False,False,0.0,,0.0,0.0,0.0,False,0,0.0,0.0,0
ES_E_Demand,consumer,True,False,False,0.0,,0.0,0.0,44844.0,False,0,0.0,0.0,0
ES_E_ENS,producer,True,True,False,0.0,,1000.0,0.0,0.0,False,0,0.0,0.0,0
ES_Wind_Onshore,producer,True,True,False,77356.32865703155,48350.0,1000.0,0.0,0.0,False,0,0.0,0.0,0
ES_Wind_Offshore,producer,True,True,False,119732.61777406993,,1000.0,0.0,0.0,False,0,0.0,0.0,0
ES_Solar,producer,True,True,False,34342.98027538492,,1000.0,0.0,0.0,False,0,0.0,0.0,0
ES_Hydro,producer,True,False,False,0.0,,3640.0,3640.0,0.0,False,0,0.0,0.0,0
