,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
SK_Battery,SK_E_Demand,1,uniform,4
SK_Battery,SK_PEMEC,1,uniform,4
SK_E_Balance,SK_Pump_Hydro_Closed,1,uniform,4
SK_Pump_Hydro_Closed,SK_E_Balance,1,uniform,4
SK_E_Balance,SK_Pump_Hydro_Open,1,uniform,4
SK_Pump_Hydro_Open,SK_E_Balance,1,uniform,4
SK_E_Balance,SK_PEMEC,1,uniform,4
SK_PEMEC,SK_H2Tank,1,uniform,4
SK_PEMFC,SK_E_Demand,1,uniform,4
SK_H2Tank,SK_PEMFC,1,uniform,4
LT_E_Balance,SE_E_Demand,1,uniform,4
SE_E_Balance,LT_E_Demand,1,uniform,4
LT_E_Balance,PL_E_Demand,1,uniform,4
PL_E_Balance,LT_E_Demand,1,uniform,4
LT_E_Balance,LT_E_Demand,1,uniform,4
LT_E_ENS,LT_E_Demand,1,uniform,4
LT_Wind_Onshore,LT_E_Balance,1,uniform,4
LT_Wind_Offshore,LT_E_Balance,1,uniform,4
LT_Solar,LT_E_Balance,1,uniform,4
LT_Hydro,LT_E_Balance,1,uniform,4
LT_E_Balance,LT_Battery,1,uniform,4
LT_Battery,LT_E_Demand,1,uniform,4
LT_Battery,LT_PEMEC,1,uniform,4
LT_E_Balance,LT_Pump_Hydro_Closed,1,uniform,4
LT_Pump_Hydro_Closed,LT_E_Balance,1,uniform,4
LT_E_Balance,LT_PEMEC,1,uniform,4
LT_PEMEC,LT_H2Tank,1,uniform,4
LT_PEMFC,LT_E_Demand,1,uniform,4
LT_H2Tank,LT_PEMFC,1,uniform,4
LV_E_Balance,LT_E_Demand,1,uniform,4
LT_E_Balance,LV_E_Demand,1,uniform,4
LV_E_Balance,LV_E_Demand,1,uniform,4
LV_E_ENS,LV_E_Demand,1,uniform,4
LV_Wind_Onshore,LV_E_Balance,1,uniform,4
LV_Wind_Offshore,LV_E_Balance,1,uniform,4
LV_Solar,LV_E_Balance,1,uniform,4
LV_Hydro,LV_E_Balance,1,uniform,4
LV_E_Balance,LV_Battery,1,uniform,4
LV_Battery,LV_E_Demand,1,uniform,4
LV_Battery,LV_PEMEC,1,uniform,4
LV_E_Balance,LV_PEMEC,1,uniform,4
LV_PEMEC,LV_H2Tank,1,uniform,4
LV_PEMFC,LV_E_Demand,1,uniform,4
LV_H2Tank,LV_PEMFC,1,uniform,4
EE_E_Balance,LV_E_Demand,1,uniform,4
LV_E_Balance,EE_E_Demand,1,uniform,4
EE_E_Balance,EE_E_Demand,1,uniform,4
EE_E_ENS,EE_E_Demand,1,uniform,4
EE_Wind_Onshore,EE_E_Balance,1,uniform,4
EE_Wind_Offshore,EE_E_Balance,1,uniform,4
EE_Solar,EE_E_Balance,1,uniform,4
EE_E_Balance,EE_Battery,1,uniform,4
EE_Battery,EE_E_Demand,1,uniform,4
EE_Battery,EE_PEMEC,1,uniform,4
EE_E_Balance,EE_PEMEC,1,uniform,4
EE_PEMEC,EE_H2Tank,1,uniform,4
EE_PEMFC,EE_E_Demand,1,uniform,4
EE_H2Tank,EE_PEMFC,1,uniform,4
FI_E_Balance,EE_E_Demand,1,uniform,4
