,asset_name,asset_name,{true;false},{true;false},{true;false},{true;false},kEUR/MWh,kEUR/MW/year,MW,MW,MW,MW,p.u.
carrier,from_asset,to_asset,active,is_transport,investable,investment_integer,variable_cost,investment_cost,investment_limit,capacity,initial_export_capacity,initial_import_capacity,efficiency
electricity,AT_Pump_Hydro_Closed,AT_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,AT_E_Balance,AT_Pump_Hydro_Open,True,False,True,False,0.0,0.0,,1000,0,0,0.875
electricity,AT_Pump_Hydro_Open,AT_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,0.875
hydrogen,AT_Blue_Hydrogen,AT_H_Demand,True,False,True,False,57.25,0.0,,1000,0,0,1.0
electricity,AT_E_Balance,AT_PEMEC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,AT_PEMEC,AT_H2Tank,True,False,True,False,0.0,0.0,,1000,0,0,0.585
hydrogen,AT_PEMEC,AT_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.585
electricity,AT_PEMFC,AT_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,0.5
hydrogen,AT_H2Tank,AT_PEMFC,True,False,True,False,0.0,0.0,,1000,0,0,1.0
hydrogen,AT_H2Tank,AT_H_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,LU_E_Balance,BE_E_Demand,True,True,False,False,15,2.6957550984694505,,1000,680,0,0.9
electricity,BE_E_Balance,LU_E_Demand,True,True,False,False,15,2.6957550984694505,,1000,680,0,0.9
electricity,LU_E_Balance,DE_E_Demand,True,True,False,False,30,2.6957550984694505,,1000,2300,0,0.9
electricity,DE_E_Balance,LU_E_Demand,True,True,False,False,30,2.6957550984694505,,1000,2300,0,0.9
electricity,LU_E_Balance,FR_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,380,0,0.9
electricity,FR_E_Balance,LU_E_Demand,True,True,False,False,39,2.6957550984694505,,1000,380,0,0.9
electricity,LU_E_Balance,LU_E_Demand,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,LU_E_ENS,LU_E_Demand,True,False,True,False,1000.0,0.0,,1000,0,0,1.0
electricity,LU_Wind_Onshore,LU_E_Balance,True,False,True,False,2.06,0.0,,1000,0,0,1.0
electricity,LU_Solar,LU_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
electricity,LU_Hydro,LU_E_Balance,True,False,True,False,0.0,0.0,,1000,0,0,1.0
